event_id,customer_id,event_type,event_time
1460,70,signup,2024-11-16 05:00:00
2306,193,signup,2024-11-16 05:00:00
3044,296,signup,2024-11-16 05:00:00
3550,369,signup,2024-11-16 12:00:00
1104,21,signup,2024-11-17 04:00:00
1894,135,signup,2024-11-17 05:00:00
1309,49,signup,2024-11-17 06:00:00
3658,385,signup,2024-11-17 10:00:00
2309,193,purchase,2024-11-17 19:00:00
3525,365,signup,2024-11-18 09:00:00
3445,354,signup,2024-11-18 09:00:00
3107,305,signup,2024-11-18 10:00:00
2038,155,signup,2024-11-18 11:00:00
1610,94,signup,2024-11-18 12:00:00
1699,107,signup,2024-11-19 02:00:00
4001,434,signup,2024-11-19 07:00:00
2241,184,signup,2024-11-19 12:00:00
3204,318,signup,2024-11-20 01:00:00
3772,402,signup,2024-11-20 08:00:00
1708,108,signup,2024-11-20 09:00:00
2495,218,signup,2024-11-20 09:00:00
1007,2,signup,2024-11-21 02:00:00
1081,17,signup,2024-11-21 03:00:00
1305,48,signup,2024-11-21 08:00:00
2245,184,login,2024-11-21 12:00:00
3116,306,signup,2024-11-22 01:00:00
1285,44,signup,2024-11-22 05:00:00
1826,126,signup,2024-11-22 09:00:00
1108,21,purchase,2024-11-22 23:00:00
3988,432,signup,2024-11-23 06:00:00
3776,403,signup,2024-11-23 07:00:00
3554,369,logout,2024-11-23 09:00:00
3573,373,signup,2024-11-23 10:00:00
2861,273,signup,2024-11-24 04:00:00
3779,403,login,2024-11-24 06:00:00
1488,76,signup,2024-11-24 11:00:00
1240,38,signup,2024-11-25 04:00:00
1198,32,signup,2024-11-25 06:00:00
3773,402,purchase,2024-11-26 00:00:00
3685,389,signup,2024-11-26 04:00:00
1000,1,signup,2024-11-27 04:00:00
4240,468,signup,2024-11-27 05:00:00
1136,25,signup,2024-11-27 10:00:00
2133,170,signup,2024-11-27 12:00:00
3210,318,logout,2024-11-27 18:00:00
3083,301,signup,2024-11-28 01:00:00
3668,386,signup,2024-11-28 12:00:00
2024,153,signup,2024-11-29 11:00:00
2778,261,signup,2024-11-29 12:00:00
1083,17,login,2024-11-29 17:00:00
4397,491,signup,2024-11-30 03:00:00
3118,306,logout,2024-11-30 06:00:00
3114,305,login,2024-11-30 22:00:00
3209,318,login,2024-12-01 01:00:00
2310,194,signup,2024-12-01 05:00:00
2569,230,signup,2024-12-01 08:00:00
2401,206,signup,2024-12-01 09:00:00
2555,228,signup,2024-12-01 10:00:00
1578,89,signup,2024-12-01 10:00:00
3675,388,signup,2024-12-01 11:00:00
4006,435,signup,2024-12-01 12:00:00
1110,21,logout,2024-12-01 14:00:00
3662,385,logout,2024-12-01 15:00:00
2312,194,login,2024-12-01 21:00:00
4041,441,signup,2024-12-02 01:00:00
3102,304,signup,2024-12-02 04:00:00
3440,353,signup,2024-12-02 05:00:00
3434,352,signup,2024-12-02 05:00:00
1144,26,signup,2024-12-02 05:00:00
1034,7,signup,2024-12-02 05:00:00
1324,52,signup,2024-12-02 06:00:00
2302,192,signup,2024-12-02 07:00:00
4372,488,signup,2024-12-02 08:00:00
4256,472,signup,2024-12-02 08:00:00
1053,11,signup,2024-12-02 09:00:00
2948,284,signup,2024-12-02 12:00:00
2250,184,logout,2024-12-02 22:00:00
1856,130,signup,2024-12-03 02:00:00
4358,486,signup,2024-12-03 08:00:00
4182,459,signup,2024-12-03 08:00:00
1711,108,purchase,2024-12-03 19:00:00
1828,126,purchase,2024-12-03 22:00:00
1273,42,signup,2024-12-04 02:00:00
3352,339,signup,2024-12-04 06:00:00
3690,389,logout,2024-12-04 19:00:00
4009,435,purchase,2024-12-05 03:00:00
1607,93,signup,2024-12-05 07:00:00
2972,288,signup,2024-12-05 08:00:00
3022,294,signup,2024-12-05 10:00:00
1653,99,signup,2024-12-05 10:00:00
1010,2,purchase,2024-12-06 02:00:00
4018,437,signup,2024-12-06 02:00:00
3837,412,signup,2024-12-06 05:00:00
2061,158,signup,2024-12-06 10:00:00
3991,433,signup,2024-12-06 12:00:00
3669,386,logout,2024-12-07 02:00:00
1109,21,purchase,2024-12-08 01:00:00
2408,206,login,2024-12-08 02:00:00
4345,484,signup,2024-12-08 03:00:00
1208,34,signup,2024-12-08 08:00:00
1329,52,login,2024-12-08 17:00:00
4002,434,logout,2024-12-09 03:00:00
3266,326,signup,2024-12-09 12:00:00
3689,389,purchase,2024-12-10 03:00:00
3190,315,signup,2024-12-10 03:00:00
1199,32,login,2024-12-10 07:00:00
3775,402,login,2024-12-10 07:00:00
2949,284,logout,2024-12-10 09:00:00
